time_step,mean_nRMSE,publication_net
75,1.0132909,Conv;34;10;relu
76,1.0309998,Conv;34;10;relu
77,1.049463,Conv;34;10;relu
78,1.0669655,Conv;34;10;relu
79,1.0827343,Conv;34;10;relu
80,1.0968586,Conv;34;10;relu
81,1.10984,Conv;34;10;relu
82,1.1221739,Conv;34;10;relu
83,1.1338038,Conv;34;10;relu
84,1.1444547,Conv;34;10;relu
85,1.1539601,Conv;34;10;relu
86,1.1619253,Conv;34;10;relu
87,1.1683614,Conv;34;10;relu
88,1.1743995,Conv;34;10;relu
89,1.1809694,Conv;34;10;relu
90,1.188854,Conv;34;10;relu
91,1.1982964,Conv;34;10;relu
92,1.2101588,Conv;34;10;relu
93,1.2239362,Conv;34;10;relu
94,1.2387959,Conv;34;10;relu
95,1.2554895,Conv;34;10;relu
96,1.2740524,Conv;34;10;relu
97,1.2931845,Conv;34;10;relu
98,1.3104744,Conv;34;10;relu
99,1.3236004,Conv;34;10;relu
100,1.331978,Conv;34;10;relu
101,1.3360558,Conv;34;10;relu
102,1.3359233,Conv;34;10;relu
103,1.3324822,Conv;34;10;relu
104,1.3285174,Conv;34;10;relu
105,1.3273474,Conv;34;10;relu
106,1.3308,Conv;34;10;relu
107,1.3388392,Conv;34;10;relu
108,1.3494028,Conv;34;10;relu
109,1.3601061,Conv;34;10;relu
110,1.3693982,Conv;34;10;relu
111,1.3767368,Conv;34;10;relu
112,1.3822012,Conv;34;10;relu
113,1.3848988,Conv;34;10;relu
114,1.3841149,Conv;34;10;relu
115,1.3804144,Conv;34;10;relu
116,1.3748677,Conv;34;10;relu
117,1.3690004,Conv;34;10;relu
118,1.3636862,Conv;34;10;relu
119,1.3591204,Conv;34;10;relu
120,1.3559471,Conv;34;10;relu
121,1.3541961,Conv;34;10;relu
122,1.3534541,Conv;34;10;relu
123,1.3528006,Conv;34;10;relu
124,1.3514886,Conv;34;10;relu
125,1.3503174,Conv;34;10;relu
126,1.3500203,Conv;34;10;relu
127,1.3502038,Conv;34;10;relu
128,1.3498905,Conv;34;10;relu
129,1.348861,Conv;34;10;relu
130,1.3479068,Conv;34;10;relu
131,1.3479717,Conv;34;10;relu
132,1.3496108,Conv;34;10;relu
133,1.3534585,Conv;34;10;relu
134,1.359709,Conv;34;10;relu
135,1.3675809,Conv;34;10;relu
136,1.376031,Conv;34;10;relu
137,1.3847233,Conv;34;10;relu
138,1.3927007,Conv;34;10;relu
139,1.3980806,Conv;34;10;relu
140,1.3997678,Conv;34;10;relu
141,1.3980348,Conv;34;10;relu
142,1.394264,Conv;34;10;relu
143,1.3896248,Conv;34;10;relu
144,1.3850678,Conv;34;10;relu
145,1.3810025,Conv;34;10;relu
146,1.3779075,Conv;34;10;relu
147,1.3767465,Conv;34;10;relu
148,1.3783405,Conv;34;10;relu
149,1.3825874,Conv;34;10;relu
150,1.3885672,Conv;34;10;relu
151,1.3952881,Conv;34;10;relu
152,1.4023434,Conv;34;10;relu
153,1.409552,Conv;34;10;relu
154,1.4161241,Conv;34;10;relu
155,1.4202824,Conv;34;10;relu
156,1.4210279,Conv;34;10;relu
157,1.419085,Conv;34;10;relu
158,1.4172031,Conv;34;10;relu
159,1.4177172,Conv;34;10;relu
160,1.420151,Conv;34;10;relu
161,1.4230168,Conv;34;10;relu
162,1.4248153,Conv;34;10;relu
163,1.4251955,Conv;34;10;relu
164,1.4252129,Conv;34;10;relu
165,1.4263442,Conv;34;10;relu
166,1.4291284,Conv;34;10;relu
167,1.4336395,Conv;34;10;relu
168,1.4393383,Conv;34;10;relu
169,1.4447277,Conv;34;10;relu
170,1.4473535,Conv;34;10;relu
171,1.4456316,Conv;34;10;relu
172,1.4403071,Conv;34;10;relu
173,1.4338439,Conv;34;10;relu
174,1.4284786,Conv;34;10;relu
175,1.4244992,Conv;34;10;relu
176,1.4205381,Conv;34;10;relu
177,1.4152322,Conv;34;10;relu
178,1.4088516,Conv;34;10;relu
179,1.4027046,Conv;34;10;relu
180,1.3973341,Conv;34;10;relu
181,1.3937066,Conv;34;10;relu
182,1.3932827,Conv;34;10;relu
183,1.3968554,Conv;34;10;relu
184,1.4044545,Conv;34;10;relu
185,1.4140906,Conv;34;10;relu
186,1.4228803,Conv;34;10;relu
187,1.4284166,Conv;34;10;relu
188,1.4293962,Conv;34;10;relu
189,1.425457,Conv;34;10;relu
190,1.4174901,Conv;34;10;relu
191,1.4074838,Conv;34;10;relu
192,1.3984666,Conv;34;10;relu
193,1.3920281,Conv;34;10;relu
194,1.3877689,Conv;34;10;relu
195,1.3848913,Conv;34;10;relu
196,1.3834523,Conv;34;10;relu
197,1.3830596,Conv;34;10;relu
198,1.3834435,Conv;34;10;relu
199,1.3844986,Conv;34;10;relu
200,1.386422,Conv;34;10;relu
1,0.0044541284,Conv;34;10;relu
2,0.0071908697,Conv;34;10;relu
3,0.0102225505,Conv;34;10;relu
4,0.013565244,Conv;34;10;relu
5,0.017888982,Conv;34;10;relu
6,0.023006357,Conv;34;10;relu
7,0.02862922,Conv;34;10;relu
8,0.03457268,Conv;34;10;relu
9,0.04100193,Conv;34;10;relu
10,0.047592558,Conv;34;10;relu
11,0.054458275,Conv;34;10;relu
12,0.06240957,Conv;34;10;relu
13,0.07096793,Conv;34;10;relu
14,0.07928627,Conv;34;10;relu
15,0.08751554,Conv;34;10;relu
16,0.095719025,Conv;34;10;relu
17,0.104522005,Conv;34;10;relu
18,0.114228725,Conv;34;10;relu
19,0.12428432,Conv;34;10;relu
20,0.13348043,Conv;34;10;relu
21,0.14203024,Conv;34;10;relu
22,0.15205154,Conv;34;10;relu
23,0.16402096,Conv;34;10;relu
24,0.17623226,Conv;34;10;relu
25,0.18770654,Conv;34;10;relu
26,0.1986853,Conv;34;10;relu
27,0.20887153,Conv;34;10;relu
28,0.21768707,Conv;34;10;relu
29,0.225123,Conv;34;10;relu
30,0.2321235,Conv;34;10;relu
31,0.24106787,Conv;34;10;relu
32,0.25271925,Conv;34;10;relu
33,0.26665664,Conv;34;10;relu
34,0.28300467,Conv;34;10;relu
35,0.30083013,Conv;34;10;relu
36,0.31894788,Conv;34;10;relu
37,0.33618036,Conv;34;10;relu
38,0.35261446,Conv;34;10;relu
39,0.36870137,Conv;34;10;relu
40,0.38478032,Conv;34;10;relu
41,0.40189016,Conv;34;10;relu
42,0.42105964,Conv;34;10;relu
43,0.44202933,Conv;34;10;relu
44,0.46262574,Conv;34;10;relu
45,0.48219177,Conv;34;10;relu
46,0.5016783,Conv;34;10;relu
47,0.52086884,Conv;34;10;relu
48,0.53967804,Conv;34;10;relu
49,0.55852026,Conv;34;10;relu
50,0.5780687,Conv;34;10;relu
51,0.5982788,Conv;34;10;relu
52,0.6185435,Conv;34;10;relu
53,0.6386414,Conv;34;10;relu
54,0.65897787,Conv;34;10;relu
55,0.68066156,Conv;34;10;relu
56,0.7043894,Conv;34;10;relu
57,0.7289775,Conv;34;10;relu
58,0.75165504,Conv;34;10;relu
59,0.7707143,Conv;34;10;relu
60,0.7870569,Conv;34;10;relu
61,0.8031669,Conv;34;10;relu
62,0.8201209,Conv;34;10;relu
63,0.8361444,Conv;34;10;relu
64,0.8515219,Conv;34;10;relu
65,0.8671086,Conv;34;10;relu
66,0.88318014,Conv;34;10;relu
67,0.90010685,Conv;34;10;relu
68,0.9182161,Conv;34;10;relu
69,0.9379212,Conv;34;10;relu
70,0.9588948,Conv;34;10;relu
71,0.97899914,Conv;34;10;relu
72,0.9953502,Conv;34;10;relu
73,1.0070264,Conv;34;10;relu
74,1.0153682,Conv;34;10;relu
75,1.0226303,Conv;34;10;relu
76,1.0308905,Conv;34;10;relu
77,1.0404525,Conv;34;10;relu
78,1.050415,Conv;34;10;relu
79,1.0602132,Conv;34;10;relu
80,1.071482,Conv;34;10;relu
81,1.085184,Conv;34;10;relu
82,1.1007618,Conv;34;10;relu
83,1.1165667,Conv;34;10;relu
84,1.1319938,Conv;34;10;relu
85,1.1469828,Conv;34;10;relu
86,1.1610141,Conv;34;10;relu
87,1.1729877,Conv;34;10;relu
88,1.1816885,Conv;34;10;relu
89,1.187469,Conv;34;10;relu
